batch number,id,Feedback,Notes,
1,1,7,smooth,
1,2,1>2,stiff finger,
1,3,2>3,stiff robot and finger,
1,4,"8, 4>3","smoot, a bit fast",
1,5,4>5,"smoot, slow handover",
2,6,6<5,didn't want to release in time,
2,7,"7>6, 7",ok lah,
2,8,8<7,very compliant,
2,9,9<8,very compliant no release first,
2,10,"8, 10>9",a bit stiff but successful,
2,11,11<10,a bit stiff ,
2,12,"12>11, 9",pretty good,
2,13,13<12,stiff finger,
2,14,14<13,,
2,15,"15>14, 5","a bit late finger control, nice compliance",
3,16,16>15,"smooth, but late finger",
3,17,17<16,nice but late finger,
3,18,18>17,,
3,19,19<18,late finger,
3,20,20<19,too stiff,
3,21,"8, 21>20",,
3,22,"22>21, 9",,
3,23,"23<22, 5",too compliant,
3,24,24>23,less ocmpliant,
3,25,"25>24, 7",,
4,26,"26<25, 4",late finger,
4,27,"27>26,9",,
4,28,"28<27, 7",,
4,29,"29<28, 5",slow finger,
4,30,30>29,ok lah,
4,31,31>30,,
4,32,"32>31, 7",,
4,33,"33>32,9",one of the best very dynamics,
4,34,34<33,,
4,35,fAILED,,
5,36,3,very late finger control,
5,37,"37>36, 9",,
5,38,"38>37, 10",,
5,39,39<38,a bit stiff,
5,40,"40<39, 4",no realease first,
5,41,41>40,late finger,
5,42,42>40,,
5,43,"43 > 42, 9",,
5,44,"44>43, 10",,
5,45,45<44,A BIT LATE HANDOVER,
5,46,46>45,,
5,47,47>46,,
5,48,48<47,,
5,49,4,early stop,
5,50,50>49,,
6,51,7,,
6,52,51>52,,
6,53,53>52,,
6,54,"54<53, 3",weird,
6,55,"55>54, 9",,
6,56,"56 < 55, 8",,
6,57,57 > 56,,
6,58,58>57,,
6,59,59<58,stopped early,
6,60,60>59,,
6,61,"61<60, 4  ",,
6,62,5,,
6,63,63 > 62,,
6,64,6,,
6,65,65<64,too compliant,
6,66,4,,
6,67,"67>66, 6",,
6,68,68<67,,
6,69,69>68,,
6,70,70<69,,
6,71,71<70,too com,
6,72,72>71,,
6,73,"73<72, 6",,
6,74,74>73,stiff a bit,
6,75,75>74,,
7,76,5,too late open,
7,77,77<76,,
7,78,78<77,,
7,79,4,,
7,80,3,,
7,81,81>80,too compliant,
7,82,"82>81, 8",,
7,83,"83<82, 7",,
7,84,84<83,,
7,85,85>84,,
7,86,86>85,a bit stiff,
7,87,"87>86, 9",,
7,88,88<87,a bit early stop,
7,89,89<88,a bit stiff,
7,90,90>89,,
7,91,91<90,kinect problem?s,
7,92,4,high velocity,
7,93,"93>92, 6",late release,
7,94,6,,
7,95,95>94,a bit stiff ,
7,96,96<95,late release,
7,97,"97<96, 3",late release,
7,98,98>97,,
7,99,"99<98, 4",,
7,100,100>99,,
8,101,4,didn't release,4
8,102,"102>101, 8",,2
8,103,fail,,3
8,104,7,,4
8,105,"104>105, 104<102",,3
8,106,106>105,,2
8,107,9,,1
8,108,8,,3
8,109,"109>108, 9",,1
8,110,110<109,,4
8,111,111>110,,4
8,112,"112>110, 111",,4
8,113,113<112,stilff a bit,3
8,114,114<109,,1
8,115,115>114,,2
8,116,"116<115, 116<114, 109",,1
8,117,"117<116, 117<112",,4
8,118,"118>117, 7",,3
8,119,119<118,,3
8,120,120>119,,2
8,121,"121>120, 8",,1
8,122,"122<121, 5",,3
8,123,123<122,,3
8,124,"124>123, 7",,2
8,125,125<124,,3
8,126,126>125,,4
8,127,"127>126, 10",,2
8,128,"128<127, 2",,1
8,129,"129>128, 9",,2
8,130,130<129,,2
8,131,"131<130, 5",,3
8,132,"132>131, 6",,2
8,133,133>132,,2
8,134,134>133,,1
8,135,135<134,,3
8,136,136>135,,1
8,137,137<136,,1
8,138,138<135,,3
8,139,4,,2
8,140,140>139,,1
8,141,"141>140, 8",,4
8,142,142<141,,2
8,143,143>142,,1
8,144,"144<143, 3",,1
8,145,145>144,,4
8,146,146>145,,2
8,147,147<146,,3
8,148,148>147,,1
8,149,"149<148, 4",,1
8,150,5,,3
LEARNING BEGINS,,,,
11,151,7,,1
11,152,152>151,,2
11,153,"153<152, 8",,3
11,154,154<152,,2
11,155,155>154,,2
11,156,"156>155,8",,2
11,157,157<156,,4
11,158,failed?,,4
11,159,159<157,,3
11,160,160>159,,1
11,161,161<160,,3
12,161,5,,4
12,162,162>161,,1
12,163,163<162,,4
12,164,164<162,,1
12,165,"165<164, 5",,3
12,166,166<165,,3
12,167,5,,2
12,168,168>167,,2
12,169,fail?,,1
12,170,170<168,,1
12,171,171>170,,2
12,172,,,
12,173,,,
12,174,,,
,175,,,
,176,,,
,177,,,
,178,,,
,179,,,
,180,,,
,181,,,
,182,,,
,183,,,
,184,,,
,185,,,
,186,,,
,187,,,
,188,,,
,189,,,
,190,,,
,191,,,
,192,,,
,193,,,
,194,,,
,195,,,
,196,,,
,197,,,
,198,,,
,199,,,
,200,,,
,201,,,
